timestamp,sensor_id,temperature,unit,quality
2026-02-03T00:00:00,TEMP_101,11.37,celsius,good
2026-02-03T00:01:00,TEMP_101,11.62,celsius,good
2026-02-03T00:02:00,TEMP_101,11.19,celsius,good
2026-02-03T00:03:00,TEMP_101,11.22,celsius,good
2026-02-03T00:04:00,TEMP_101,11.21,celsius,good
2026-02-03T00:05:00,TEMP_101,11.08,celsius,good
2026-02-03T00:06:00,TEMP_101,11.73,celsius,good
2026-02-03T00:07:00,TEMP_101,11.52,celsius,good
2026-02-03T00:08:00,TEMP_101,11.43,celsius,good
2026-02-03T00:09:00,TEMP_101,10.98,celsius,good
2026-02-03T00:10:00,TEMP_101,11.32,celsius,good
2026-02-03T00:11:00,TEMP_101,10.84,celsius,good
2026-02-03T00:12:00,TEMP_101,10.62,celsius,good
2026-02-03T00:13:00,TEMP_101,10.63,celsius,good
2026-02-03T00:14:00,TEMP_101,11.56,celsius,good
2026-02-03T00:15:00,TEMP_101,11.93,celsius,good
2026-02-03T00:16:00,TEMP_101,11.84,celsius,good
2026-02-03T00:17:00,TEMP_101,11.28,celsius,good
2026-02-03T00:18:00,TEMP_101,11.09,celsius,good
2026-02-03T00:19:00,TEMP_101,11.61,celsius,good
2026-02-03T00:20:00,TEMP_101,11.39,celsius,good
2026-02-03T00:21:00,TEMP_101,11.08,celsius,good
2026-02-03T00:22:00,TEMP_101,11.59,celsius,good
2026-02-03T00:23:00,TEMP_101,11.33,celsius,good
2026-02-03T00:24:00,TEMP_101,11.44,celsius,good
2026-02-03T00:25:00,TEMP_101,11.52,celsius,good
2026-02-03T00:26:00,TEMP_101,11.64,celsius,good
2026-02-03T00:27:00,TEMP_101,11.5,celsius,good
2026-02-03T00:28:00,TEMP_101,11.8,celsius,good
2026-02-03T00:29:00,TEMP_101,11.94,celsius,good
2026-02-03T00:30:00,TEMP_101,12.15,celsius,good
2026-02-03T00:31:00,TEMP_101,11.31,celsius,good
2026-02-03T00:32:00,TEMP_101,11.67,celsius,good
2026-02-03T00:33:00,TEMP_101,11.44,celsius,good
2026-02-03T00:34:00,TEMP_101,11.87,celsius,good
2026-02-03T00:35:00,TEMP_101,12.14,celsius,good
2026-02-03T00:36:00,TEMP_101,11.57,celsius,good
2026-02-03T00:37:00,TEMP_101,11.9,celsius,good
2026-02-03T00:38:00,TEMP_101,11.43,celsius,good
2026-02-03T00:39:00,TEMP_101,11.36,celsius,good
2026-02-03T00:40:00,TEMP_101,11.45,celsius,good
2026-02-03T00:41:00,TEMP_101,11.97,celsius,good
2026-02-03T00:42:00,TEMP_101,11.71,celsius,good
2026-02-03T00:43:00,TEMP_101,11.58,celsius,good
2026-02-03T00:44:00,TEMP_101,11.69,celsius,good
2026-02-03T00:45:00,TEMP_101,12.11,celsius,good
2026-02-03T00:46:00,TEMP_101,12.42,celsius,good
2026-02-03T00:47:00,TEMP_101,12.06,celsius,good
2026-02-03T00:48:00,TEMP_101,11.82,celsius,good
2026-02-03T00:49:00,TEMP_101,12.27,celsius,good
2026-02-03T00:50:00,TEMP_101,11.87,celsius,good
2026-02-03T00:51:00,TEMP_101,12.22,celsius,good
2026-02-03T00:52:00,TEMP_101,12.43,celsius,good
2026-02-03T00:53:00,TEMP_101,12.41,celsius,good
2026-02-03T00:54:00,TEMP_101,12.36,celsius,good
2026-02-03T00:55:00,TEMP_101,12.05,celsius,good
2026-02-03T00:56:00,TEMP_101,12.24,celsius,good
2026-02-03T00:57:00,TEMP_101,12.5,celsius,good
2026-02-03T00:58:00,TEMP_101,12.52,celsius,good
2026-02-03T00:59:00,TEMP_101,12.29,celsius,good
2026-02-03T01:00:00,TEMP_101,12.17,celsius,good
2026-02-03T01:01:00,TEMP_101,11.75,celsius,good
2026-02-03T01:02:00,TEMP_101,12.15,celsius,good
2026-02-03T01:03:00,TEMP_101,12.09,celsius,good
2026-02-03T01:04:00,TEMP_101,12.49,celsius,good
